Title,Author,Genre,Fiction,Theme,Discussion Date,Link,Comments
Deep Work,Cal Newport,Self Transformation,FALSE,Classy,10/5/2024,,
Lone Survivor,Markus Lutrel,History,,Classy,,,
Essentialism,,,FALSE,Classy,,,
Can't Hurt Me,GOGGINS STAY HARD,Biography,FALSE,Classy,1/4/2025,,
Ordinary Men,,History,FALSE,Classy,4/5/2025,,
The Lucifer Effect,Zimbardo,"Philosophy, History",,"Classy, Curious",,,
Freakonomics,,,FALSE,Classy,,,
The subtle art of not giving an F,,,FALSE,Classy,,,
Oppenheimer,,"History, Biography",,Classy,,,
1177 BC,,History,,Classy,,,
Dante's Inferno,Dante Alighieri,Epic Poem,TRUE,"Classy, Curious",8/30/2025,,
Killing Lincoln,,History,,Classy,,,
The Immortality Key,Brian Muraresku,"History, Religion/Spiritual",FALSE,Classy,,,
Think and grow rich,Napoleon Hill,"Self Transformation, Financial",FALSE,Classy,,,
Lean Startup,,"Business, Financial",FALSE,Classy,,,
7 day workweek,,,FALSE,Classy,,,
richest man in babylon,,Financial,FALSE,Classy,,,
win friends and influence people,,,FALSE,Classy,,,
7 Habits,Freaky Covey,,TRUE,Classy,,,
The Prophet,Karl Gibrhan ,Poetry,FALSE,"Classy, Curious",,,
Epic of Gilgamesh,??,Epic Poem,FALSE,"Classy, Curious",,,
Paradise Lost,John Milton,Epic Poem,TRUE,"Classy, Curious",,,
Screwtape Letters,CS Lewis,Religion/Spiritual,FALSE,Classy,,,
Outlive,Peter Atia,,FALSE,Classy,,,
Life in Three Dimensions,,,FALSE,Classy,,,
The Denial of Death,Ernest Becker,,FALSE,Classy,,,
Maze Runner,,,FALSE,Creative,,,
Reflections on Pesmissmism,Schoppenhaur,,FALSE,Curious,,,
12 Rules for Life,Jorgan Perterson,,FALSE,"Classy, Curious",,,
Hail Mary,,Sci-Fi,TRUE,Creative,11/2/2024,,
Lonesome Dove,Brokeback MtnDew,,TRUE,Creative,8/2/2025,,
Fight Club,Chuck Palahniuk,Sci-Fi,TRUE,Creative,,,
Atomic Habits,,,FALSE,Classy,1/3/2026,,
The Lord of the Rings,,,TRUE,Creative,,,
On writing: a memoir of the craft ,Stephen King,Biography,FALSE,Creative,,,
Start with Why,,,FALSE,Classy,,,
Algorithms To Live By,,,FALSE,Classy,,,
Ride the Tiger,,,FALSE,Classy,,,
The Book Thief,,,TRUE,Creative,2/1/2025,,
The Davinci Code,,,TRUE,Creative,,,
Harry Potter,,,TRUE,Creative,,,
Christmas Carol,Charles Dickens,,TRUE,Creative,,,
No Country For Old Men,Cormac McCarthy,,TRUE,Creative,,,
The Creative Act; A Way of Being,Rick Ruban,,FALSE,Creative,5/3/2025,,
Enders Game,,Sci-Fi,TRUE,"Creative, Curious",6/6/2025,,
Devolution,Max Brooks,,FALSE,Creative,,,
Skeleton Crew,Stephen King,,FALSE,Creative,,,
Speaker for the Dead (Enders Book 2),,,TRUE,"Creative, Curious",,,
Big Magic,,,FALSE,Creative,,,
The Red Book,C.G. Jung,Philosophy,FALSE,Curious,,,Needs to be done in segments!
Letters from a Stoic,Lucius Annaeus Seneca,Philosophy,FALSE,Curious,12/7/2024,,
Bronze Age Mindset,Bronze Age Pervert,,FALSE,Curious,,,
Meditations,Marcus Arelius,,FALSE,Curious,3/1/2025,,
The industrial revoltion and its future,Theodore Kazkcynski,,FALSE,Curious,,,
Condensed Chaos,,,FALSE,Curious,,,
To Kill a Mockingbird,Harper Lee,,TRUE,"Creative, Classy",,,
Frankensteins Monster,Mary Shelly,,FALSE,"Curious, Creative, Classy",,,
Proverbs of heaven and hell,William Blake,,FALSE,"Curious, Classy",,,
Happy Lies,,"Religion/Spiritual, Philosophy",FALSE,"Classy, Curious",7/5/2025,,
Mere Christianity,CS Lewis,"Religion/Spiritual, Philosophy",FALSE,Classy,,,
Pagens in teh Promised Land,Stephen Nukem,,FALSE,"Curious, Classy",,,
